題號,分類,人物歸屬,題型,特殊標記,題目,選項A,選項B,選項C,選項D,正確答案,備註
1,互動猜人,酥酥,文字題,三人一致,依照不同線索描述，猜出這是酥酥的哪一個「已知」女友？三人要給出相同的答案才算得分。,,,,，主持人依題庫線索提示，三人說出同一個名字即得分,
2,互動猜人,師父,文字題,三人一致,依照不同的線索描述，猜出在場的某一個人。三人要給出相同的答案才算得分。,,,,,主持人依題庫線索提示，三人說出同一位在場人名即得分,
3,互動猜人,劉宇謙,文字題,三人一致,依照不同線索描述，猜出「阿珊」的五官特徵。三人要給出相同的描述才算得分。,,,,,主持人依題庫描述提示，三人說出相同的五官描述即得分,
4,互動遊戲,團康,互動題,,由主辦方出題，請三位使用比手畫腳方式傳遞給夥伴，進行兩輪來回。最後頭尾兩個人需說出：是什麼角色？在做什麼事？,,,,,主持人自由判定！頭尾兩人說出相同的角色與動作即得分,
5,共同回憶,師父,影片題,,請詳細觀看這部影片，並回答主辦方提出的出遊細節題目。,,,,,主辦方依影片內容出題，答案請提前準備好,請插入出遊影片
6,共同回憶,劉宇謙,看圖題,,猜猜這是在場哪位朋友的小時候照片？,,,,,鄭玄,請插入鄭玄小時候照片
7,IG 社群,酥酥,選擇題,,酥酥的 IG 精選，三個韓團從左到右的排序是？,TWICE → aespa → BOL4,aespa → TWICE → BOL4,aespa → BOL4 → TWICE,BOL4 → aespa → TWICE,B．aespa → TWICE → BOL4,
8,IG 社群,師父,選擇題,,目前在場的人裡，有誰不是你（酥酥）的 IG 粉絲？,Sunny,熱狗,阿珊,老劉,B．熱狗,
9,IG 社群,劉宇謙,選擇題,,阿珊的 IG 2025 年貼文中，誰沒有出現正臉？,熱狗,鴻感,老鄭,老酥,B．鴻感,
10,共同回憶,酥酥,文字題,,高中時期跟老鄭常討論的那部日劇叫什麼名字？男主角叫什麼名字？那首經典主題曲是什麼？,,,,,日劇：《求婚大作戰》| 男主角：山下智久 | 主題曲：《明日晴》,
11,共同回憶,師父,文字題,,大學時期去墾丁玩，要去海邊時——是誰開車的？副駕是誰？發生什麼事導致大家都醒了？,,,,,開車：師父 | 副駕：鄭玄 | 事件：轉彎差點衝進別人家裡,
12,共同回憶,劉宇謙,文字題,,大學時期去花蓮玩，回程時——走哪條公路回去？為什麼要多過一夜？在哪個區域過的夜？,,,,,公路：中橫公路 | 原因：颱風封路 | 過夜地點：清境,
13,共同回憶,酥酥,看圖題,,（看圖）請猜出這是跟誰去哪裡玩？住在哪裡？,,,,,同行：鄭玄 | 地點：高雄 | 住宿：85大樓,請插入高雄旅遊照片
14,共同回憶,師父,看圖題,,（看圖）請猜出這是去哪裡玩？大概是什麼時候？,,,,,地點：台南 | 時間：十月,請插入台南旅遊照片
15,共同回憶,劉宇謙,看圖題,,（看圖）請依照照片，從左到右說出這五個人的名字（不含死豬）,,,,,從左到右：劉 → 鄭 → 蘇 → 熱狗 → 師父,請插入對應團體合照
16,歷史知識,酥酥,文字題,,張昭在赤壁之戰前主張什麼策略？諸葛亮口中的「厚顏無恥之徒」，是王朗還是王允？,,,,,張昭主張：投降曹操 | 厚顏無恥之徒：王朗（非王允）,
17,個人相關,師父,選擇題,,劉宇謙家裡的貓叫什麼名字？,肥肥,球球,咪咪,肥仔,（主辦方提前確認後填入）,答案待確認
18,共同回憶,劉宇謙,文字題,,國中籃球比賽時——先發上場的五個人是誰？最後贏了幾場？,,,,,先發五人：陳世瑜、朱信宇、陳俊翰、劉宇謙、馮國隆 | 贏了：2 場,
19,動漫知識,酥酥,文字題,,神奇寶貝中——小智在豐原地區第一隻收服的飛行系寶可夢是誰？那個世代的御三家是哪一隻（草系）？,,,,,飛行系：傲骨燕 | 御三家草系：木守宮,
